country,latitude,longitude
Chad,20.84166667,15.40333333
Chad,20.5525,15.62944444
Chad,20.34777778,15.9875
Chad,19.90138889,15.74055556
Chad,16.73055556,15.53388889
Chad,14.48111111,13.51555556
Chad,13.71027778,13.63916667
Chad,13.07222222,14.07805556
Chad,13.05722222,14.46305556
Chad,11.79444444,15.12083333
Chad,10.68277778,15.11555556
Chad,10.26277778,15.33416667
Chad,9.99027778,15.7
Chad,9.98472222,14.22
Chad,9.6475,13.99277778
Chad,8.63111111,15.12111111
Chad,7.53027778,15.49305556
Chad,7.84055556,16.59777778
Chad,7.55138889,16.85305556
Chad,7.95027778,17.6075
Chad,8.01083333,18.58888889
Chad,8.67972222,19.11194444
Chad,8.88666667,18.8575
Chad,9.01305556,19.08944444
Chad,9.11611111,20.40083333
Chad,10.24527778,21.67861111
Chad,10.81944444,21.81166667
Chad,10.92888889,22.87805556
Chad,11.39694444,22.93972222
Chad,11.62305556,22.55444444
Chad,12.62222222,22.4775
Chad,12.80416667,21.81638889
Chad,15.72305556,23.11888889
Chad,15.70027778,23.99638889
Chad,19.50222222,24.00527778
Chad,23.46555556,16.01416667
Congo,5.48972222,18.61277778
Congo,3.55194444,18.26027778
Congo,3.67805556,17.44916667
Congo,3.58722222,17.33777778
Congo,3.47972222,16.58888889
Congo,2.87333333,16.52194444
Congo,2.21944444,16.19055556
Congo,2.19527778,16.08333333
Congo,1.9675,16.04666667
Congo,1.68194444,16.13805556
Congo,1.65388889,16.03083333
Congo,1.75833333,16.02944444
Congo,1.98194444,15.485
Congo,1.90055556,15.35416667
Congo,2.16333333,14.30666667
Congo,2.16805556,13.29583333
Congo,1.55388889,13.13361111
Congo,1.31972222,13.26194444
Congo,1.22166667,13.16333333
Congo,1.215,13.305
Congo,1.28833333,13.42833333
Congo,1.25694444,13.50833333
Congo,1.43166667,13.8075
Congo,1.35805556,14.23944444
Congo,0.92833333,14.4975
Congo,0.54416667,14.28444444
Congo,0.55722222,14.12722222
Congo,-0.18416667,13.82805556
Congo,-0.66222222,14.53027778
Congo,-2.49444444,14.10861111
Congo,-2.48027778,13.86916667
Congo,-2.12,13.76083333
Congo,-2.44,13.47333333
Congo,-2.33361111,13.0225
Congo,-1.94305556,12.84194444
Congo,-1.87416667,12.44722222
Congo,-2.41888889,12.51416667
Congo,-2.37527778,11.52527778
Congo,-2.99916667,11.68333333
Congo,-3.06472222,11.79722222
Congo,-3.15,11.66194444
Congo,-3.31111111,11.95361111
Congo,-3.56916667,11.87333333
Congo,-3.58722222,11.83666667
Congo,-3.63,11.86027778
Congo,-3.64916667,11.90027778
Congo,-3.74611111,11.66166667
Congo,-3.63833333,11.65194444
Congo,-3.49861111,11.47861111
Congo,-3.95138889,11.15527778
Congo,-4.15527778,11.04333333
Congo,-4.195,11.38333333
Congo,-4.61194444,11.81416667
Congo,-4.67333333,11.77055556
Congo,-5.03,12.00888889
Congo,-4.895,12.16694444
Congo,-4.79638889,12.19805556
Congo,-4.80222222,12.31388889
Congo,-4.6125,12.39527778
Congo,-4.61333333,12.52472222
Congo,-4.49222222,12.78194444
Congo,-4.40833333,12.72055556
Congo,-4.41694444,12.75888889
Congo,-4.39472222,12.75833333
Congo,-4.425,12.8475
Congo,-4.68472222,13.10333333
Congo,-4.59416667,13.10277778
Congo,-4.58944444,13.13166667
Congo,-4.78083333,13.30944444
Congo,-4.80361111,13.37638889
Congo,-4.85805556,13.37222222
Congo,-4.91527778,13.42944444
Congo,-4.74916667,13.51361111
Congo,-4.8175,13.57916667
Congo,-4.76472222,13.68666667
Congo,-4.71166667,13.71444444
Congo,-4.67916667,13.72277778
Congo,-4.6575,13.69111111
Congo,-4.45111111,13.72944444
Congo,-4.43527778,13.83055556
Congo,-4.49972222,13.85777778
Congo,-4.50916667,13.96444444
Congo,-4.28638889,14.40888889
Congo,-4.35833333,14.39277778
Congo,-4.43166667,14.48194444
Congo,-4.5425,14.36055556
Congo,-4.635,14.39333333
Congo,-4.89555556,14.41388889
Congo,-4.84527778,14.48777778
Congo,-4.92333333,14.64972222
Congo,-4.82138889,14.84111111
Congo,-4.27083333,15.32694444
Congo,-4.27777778,15.43444444
Congo,-4.08833333,15.51694444
Congo,-4.00305556,15.67555556
Congo,-3.94305556,15.89944444
Congo,-3.29972222,16.21444444
Congo,-2.1725,16.21444444
Congo,-1.20666667,16.87833333
Congo,-0.52416667,17.71944444
Democratic Republic of the Congo,3.46944444,18.60444444
Democratic Republic of the Congo,-0.53055556,17.71
Democratic Republic of the Congo,-2.12777778,16.2275
Democratic Republic of the Congo,-2.77611111,16.20444444
Democratic Republic of the Congo,-3.31027778,16.20166667
Democratic Republic of the Congo,-4.88944444,14.75416667
Democratic Republic of the Congo,-4.89722222,14.43361111
Democratic Republic of the Congo,-4.32416667,14.41944444
Democratic Republic of the Congo,-4.47777778,13.72555556
Democratic Republic of the Congo,-4.72083333,13.685
Democratic Republic of the Congo,-4.87611111,13.36277778
Democratic Republic of the Congo,-4.61138889,13.14972222
Democratic Republic of the Congo,-5.15666667,12.54194444
Democratic Republic of the Congo,-5.75055556,12.53472222
Democratic Republic of the Congo,-5.77444444,12.21444444
Democratic Republic of the Congo,-6.05833333,12.43666667
Democratic Republic of the Congo,-5.89666667,12.96666667
Democratic Republic of the Congo,-5.89361111,16.56833333
Democratic Republic of the Congo,-8.08472222,17.52083333
Democratic Republic of the Congo,-7.99638889,19.36972222
Democratic Republic of the Congo,-7.00722222,19.55805556
Democratic Republic of the Congo,-6.92972222,20.62361111
Democratic Republic of the Congo,-7.28583333,20.54944444
Democratic Republic of the Congo,-7.32055556,21.77611111
Democratic Republic of the Congo,-11.2775,22.25
Democratic Republic of the Congo,-10.92277778,23.99722222
Democratic Republic of the Congo,-11.17805556,24.4025
Democratic Republic of the Congo,-11.39472222,24.2975
Democratic Republic of the Congo,-11.19305556,25.34166667
Democratic Republic of the Congo,-11.63305556,25.34083333
Democratic Republic of the Congo,-11.97472222,26.86861111
Democratic Republic of the Congo,-11.60277778,27.05055556
Democratic Republic of the Congo,-11.60361111,27.20694444
Democratic Republic of the Congo,-13.41666667,29.00527778
Democratic Republic of the Congo,-13.24444444,29.6725
Democratic Republic of the Congo,-13.43222222,29.61305556
Democratic Republic of the Congo,-13.42944444,29.80777778
Democratic Republic of the Congo,-12.16694444,29.82444444
Democratic Republic of the Congo,-12.40416667,29.28527778
Democratic Republic of the Congo,-11.8075,28.445
Democratic Republic of the Congo,-9.26472222,28.3925
Democratic Republic of the Congo,-8.90444444,28.81583333
Democratic Republic of the Congo,-8.50916667,28.89888889
Democratic Republic of the Congo,-8.21611111,30.75388889
Democratic Republic of the Congo,-2.59583333,28.87583333
Democratic Republic of the Congo,-1.37916667,29.61111111
Democratic Republic of the Congo,2.10805556,31.30388889
Democratic Republic of the Congo,2.47944444,30.72583333
Democratic Republic of the Congo,3.49861111,30.87444444
Democratic Republic of the Congo,5.12305556,27.38944444
Democratic Republic of the Congo,4.12222222,22.27916667
Democratic Republic of the Congo,5.09444444,19.51861111
Democratic Republic of the Congo,3.46944444,18.60444444
Dahomey,6.22694444,1.63166667
Dahomey,6.28305556,1.80527778
Dahomey,6.69222222,1.57833333
Dahomey,6.76194444,1.62638889
Dahomey,6.99944444,1.56055556
Dahomey,6.9975,1.63166667
Dahomey,9.0925,1.60694444
Dahomey,9.2425,1.46861111
Dahomey,9.46972222,1.39666667
Dahomey,9.48472222,1.36222222
Dahomey,9.55444444,1.33888889
Dahomey,9.5975,1.36333333
Dahomey,10,1.35416667
Dahomey,10.37972222,0.77861111
Dahomey,10.72305556,0.79916667
Dahomey,10.99611111,0.92333333
Dahomey,11.47277778,1.45222222
Dahomey,11.45972222,1.56416667
Dahomey,11.39805556,1.60916667
Dahomey,11.44277778,1.87416667
Dahomey,11.4075,1.91444444
Dahomey,11.41388889,2.02
Dahomey,11.67166667,2.31416667
Dahomey,11.71916667,2.30166667
Dahomey,11.79083333,2.37361111
Dahomey,11.92888889,2.39083333
Dahomey,11.98027778,2.46416667
Dahomey,12.24305556,2.37611111
Dahomey,12.27944444,2.68805556
Dahomey,12.405,2.82722222
Dahomey,11.87722222,3.31472222
Dahomey,11.84944444,3.47694444
Dahomey,11.69472222,3.59666667
Dahomey,11.29138889,3.49777778
Dahomey,11.13166667,3.71944444
Dahomey,10.40277778,3.78916667
Dahomey,10.42916667,3.6325
Dahomey,10.2625,3.57888889
Dahomey,10.17861111,3.67
Dahomey,9.09916667,3.08888889
Dahomey,9.06166667,2.77638889
Dahomey,6.38027778,2.7125
Dahomey,6.22694444,1.63166667
Morocco,35.72305556,-5.89916667
Morocco,33.30916667,-8.54444444
Morocco,31.37416667,-9.88916667
Morocco,30.53222222,-9.86305556
Morocco,28.98472222,-10.40222222
Morocco,27.93305556,-12.82388889
Morocco,27.56666667,-13.17527778
Morocco,27.59138889,-8.68638889
Morocco,28.45833333,-8.60805556
Morocco,29.39416667,-7.05333333
Morocco,29.39194444,-5.47916667
Morocco,30.67277778,-3.58944444
Morocco,31.58416667,-3.57527778
Morocco,31.7175,-2.75638889
Morocco,32.04,-2.87305556
Morocco,31.9925,-1.12194444
Morocco,32.485,-1.00777778
Morocco,35.02972222,-2.18111111
Morocco,35.18083333,-4.74833333
Morocco,35.81722222,-5.27611111
Morocco,35.72305556,-5.89916667
